what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.2.v20120213,"org.eclipse.birt.chart.device.svg",1336703288759
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.2.v20120213,"org.eclipse.birt.chart.device.extension",1336703288761
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.2.v20120213,"org.eclipse.birt.chart.device.swt",1336703288762
stopped,bundle,org.eclipse.birt.chart.engine.extension,3.7.2.v20120213,"org.eclipse.birt.chart.engine.extension",1336703288771
stopped,bundle,org.eclipse.linuxtools.gcov.core,4.1.1.201202152032,"org.eclipse.linuxtools.gcov.core",1336703288773
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201202152032,"org.eclipse.linuxtools.gprof",1336703288775
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201202152032,"org.eclipse.linuxtools.dataviewers.charts",1336703288776
stopped,bundle,org.eclipse.birt.chart.ui,3.7.2.v20120213,"org.eclipse.birt.chart.ui",1336703288778
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1336703288778
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboard",1336703288787
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1336703288787
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.ide",1336703288812
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphing",1336703288814
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1336703288816
stopped,bundle,org.eclipse.birt.chart.engine,3.7.2.v20120213,"org.eclipse.birt.chart.engine",1336703288827
stopped,bundle,org.eclipse.birt.core.ui,3.7.2.v20120213,"org.eclipse.birt.core.ui",1336703288829
stopped,bundle,org.eclipse.birt.data.aggregation,3.7.2.v20120213,"org.eclipse.birt.data.aggregation",1336703288830
stopped,bundle,org.eclipse.birt.data,3.7.2.v20120213,"org.eclipse.birt.data",1336703288832
stopped,bundle,org.eclipse.birt.core,3.7.2.v20120213,"org.eclipse.birt.core",1336703288834
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1336703288835
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1336703288837
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1336703288840
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1336703288840
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1336703288840
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1336703288842
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1336703288851
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1336703288853
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1336703288855
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1336703288856
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1336703288864
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1336703288874
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1336703288875
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1336703288878
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,0.9.0.201202152032,"org.eclipse.linuxtools.callgraph.launch",1336703288879
stopped,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.1.201202152032,"org.eclipse.linuxtools.oprofile.launch",1336703288881
stopped,bundle,org.eclipse.linuxtools.valgrind.cachegrind,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.cachegrind",1336703288887
stopped,bundle,org.eclipse.linuxtools.valgrind.helgrind,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.helgrind",1336703288889
stopped,bundle,org.eclipse.linuxtools.valgrind.memcheck,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.memcheck",1336703288890
stopped,bundle,org.eclipse.linuxtools.valgrind.launch,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.launch",1336703288903
stopped,bundle,org.eclipse.linuxtools.profiling.launch,0.9.0.201202152032,"org.eclipse.linuxtools.profiling.launch",1336703288905
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1336703288907
stopped,bundle,org.eclipse.linuxtools.valgrind.ui,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.ui",1336703288909
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1336703288912
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1336703288914
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1336703964106
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1336703964108
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1336703964109
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1336703964110
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1336703964112
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1336703964113
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1336703964114
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1336703964114
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1336703964116
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1336703964117
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1336703964118
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1336703964119
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1336703964122
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1336703964123
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1336703964125
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1336703964125
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1336703964126
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1336703964128
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1336703964129
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1336703964130
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1336703964131
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1336703964132
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1336703964133
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1336703964134
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1336703964136
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1336703964139
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1336703964139
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1336703964140
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1336703964141
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1336703964142
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1336703964143
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1336703964144
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1336703964145
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1336703964147
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1336703964148
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1336703964149
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1336703964151
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1336703964152
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1336703964153
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1336703964154
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1336703964156
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1336703964157
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1336703964158
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1336703964159
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1336703964160
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1336703964162
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1336703964163
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1336703964164
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1336703964165
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1336703964166
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1336703964171
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1336703964172
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1336703964172
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1336703964174
started,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1336703964175
started,bundle,org.eclipse.linuxtools.systemtap.ui.editor,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.editor",1336703964177
started,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1336703964178
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1336703964179
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1336703964180
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1336703964182
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1336703964183
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1336703964184
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1336703964184
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1336703964185
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1336703964228
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1336703964230
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1336703964231
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1336703964233
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1336703964234
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1336703964236
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1336703964237
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1336703964238
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336703964239
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1336703964241
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1336703964243
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1336703964244
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336703964246
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1336703964248
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1336703964250
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1336703964251
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1336703964251
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1336703964252
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1336703964252
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1336703964254
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336703964255
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336703964256
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336703964258
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336703964259
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336703964260
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336703964261
os,sysinfo,,,"linux",1336703964269
arch,sysinfo,,,"x86_64",1336703964269
ws,sysinfo,,,"gtk",1336703964269
locale,sysinfo,,,"en_US",1336703964269
processors,sysinfo,,,"2",1336703964269
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1336703964269
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1336703964269
java.specification.name,sysinfo,,,"Java Platform API Specification",1336703964269
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336703964269
java.specification.version,sysinfo,,,"1.6",1336703964269
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1336703964269
java.version,sysinfo,,,"1.6.0_24",1336703964269
java.vm.info,sysinfo,,,"mixed mode",1336703964269
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1336703964269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336703964269
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336703964269
java.vm.specification.version,sysinfo,,,"1.0",1336703964269
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336703964269
java.vm.version,sysinfo,,,"20.0-b12",1336703964269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336703967818
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336703967862
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1336703967886
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1336703973759
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1336703974090
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1336703974144
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1336703974258
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1336703974527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336703974898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336704011400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336704016560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336704019602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336704021751
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336704024166
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336704024839
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336704024852
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.massif",1336704025788
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.2.v20120213,"org.eclipse.birt.chart.device.svg",1336704025790
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.2.v20120213,"org.eclipse.birt.chart.device.extension",1336704025792
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.2.v20120213,"org.eclipse.birt.chart.device.swt",1336704025793
stopped,bundle,org.eclipse.birt.chart.engine.extension,3.7.2.v20120213,"org.eclipse.birt.chart.engine.extension",1336704025795
stopped,bundle,org.eclipse.linuxtools.gcov.core,4.1.1.201202152032,"org.eclipse.linuxtools.gcov.core",1336704025799
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201202152032,"org.eclipse.linuxtools.gprof",1336704025801
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201202152032,"org.eclipse.linuxtools.dataviewers.charts",1336704025804
stopped,bundle,org.eclipse.birt.chart.ui,3.7.2.v20120213,"org.eclipse.birt.chart.ui",1336704025808
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1336704025809
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboard",1336704025811
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1336704025830
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.ide",1336704025832
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphing",1336704025834
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1336704025836
stopped,bundle,org.eclipse.birt.chart.engine,3.7.2.v20120213,"org.eclipse.birt.chart.engine",1336704025843
stopped,bundle,org.eclipse.birt.core.ui,3.7.2.v20120213,"org.eclipse.birt.core.ui",1336704025851
stopped,bundle,org.eclipse.birt.data.aggregation,3.7.2.v20120213,"org.eclipse.birt.data.aggregation",1336704025859
stopped,bundle,org.eclipse.birt.data,3.7.2.v20120213,"org.eclipse.birt.data",1336704025861
stopped,bundle,org.eclipse.birt.core,3.7.2.v20120213,"org.eclipse.birt.core",1336704025862
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1336704025868
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1336704025869
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1336704025875
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1336704025876
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1336704025876
